	Title	Movie Url	Year	Certificate	Genre	Runtime	Metascore	Rating	Description	Director	Stars	Votes	Gross	Movie Poster
511	The Karate Kid	https://www.imdb.com/title/tt0087538/	1984	PG	['Action', ' Drama', ' Family']	126.0	60.0	7.3	A martial arts master agrees to teach karate to a bullied teenager.	John G. Avildsen	['Ralph Macchio', 'Pat Morita', 'Elisabeth Shue', 'Martin Kove']	231471.0	90820000.0	https://m.media-amazon.com/images/M/MV5BNTkzY2YzNmYtY2ViMS00MThiLWFlYTEtOWQ1OTBiOGEwMTdhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg
512	The Karate Kid Part II	https://www.imdb.com/title/tt0091326/	1986	PG	['Action', ' Family', ' Sport']	113.0	55.0	6.1	Daniel accompanies his mentor, Mr. Miyagi, to Miyagi's childhood home in Okinawa. Miyagi visits his dying father and confronts his old rival, while Daniel falls in love and inadvertently makes a new rival of his own.	John G. Avildsen	['Pat Morita', 'Ralph Macchio', 'Pat E. Johnson', 'Bruce Malmuth']	93366.0	115100000.0	https://m.media-amazon.com/images/M/MV5BMDdjNDJjOWYtZDNkYy00MTM3LTlhY2EtNzMxMjhhMjU3OTFmXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_UX140_CR0,0,140,209_AL_.jpg
513	WarGames	https://www.imdb.com/title/tt0086567/	1983	PG	['Action', ' Drama', ' Sci-Fi']	114.0	77.0	7.1	A young man finds a back door into a military central computer in which reality is confused with game-playing, possibly starting World War III.	John Badham	['Matthew Broderick', 'Ally Sheedy', 'John Wood', 'Dabney Coleman']	103536.0	79570000.0	https://m.media-amazon.com/images/M/MV5BZDA4M2UwMzUtZDkxMy00YjYwLTliZGEtNGMwYzI0NTgwMjA3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg
514	Short Circuit	https://www.imdb.com/title/tt0091949/	1986	PG	['Comedy', ' Family', ' Sci-Fi']	98.0	50.0	6.6	Number 5 of a group of experimental robots in a lab is electrocuted, suddenly becomes intelligent, and escapes.	John Badham	['Ally Sheedy', 'Steve Guttenberg', 'Fisher Stevens', 'Austin Pendleton']	63694.0	40700000.0	https://m.media-amazon.com/images/M/MV5BNjU0YzBhMDQtYmZkZC00NWFiLTkyMDUtZmFhNjk0NGQ5MjFlXkEyXkFqcGdeQXVyMTY4MjE1MDA@._V1_UY209_CR0,0,140,209_AL_.jpg
515	First Blood	https://www.imdb.com/title/tt0083944/	1982	PG	['Action', ' Adventure', ' Thriller']	93.0	61.0	7.7	A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.	Ted Kotcheff	['Sylvester Stallone', 'Brian Dennehy', 'Richard Crenna', 'Bill McKinney']	260324.0	47210000.0	https://m.media-amazon.com/images/M/MV5BODBmOWU2YWMtZGUzZi00YzRhLWJjNDAtYTUwNWVkNDcyZmU5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX140_CR0,0,140,209_AL_.jpg
516	Fanny och Alexander	https://www.imdb.com/title/tt0083922/	1982	M18	['Drama']	188.0	100.0	8.1	Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.	Ingmar Bergman	['Bertil Guve', 'Pernilla Allwin', 'Kristina Adolphson', 'Börje Ahlstedt']	65205.0	4970000.0	https://m.media-amazon.com/images/M/MV5BZmQzMDE5ZWQtOTU3ZS00ZjdhLWI0OTctZDNkODk4YThmOTRhL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY209_CR0,0,140,209_AL_.jpg
517	Paris, Texas	https://www.imdb.com/title/tt0087884/	1984	PG	['Drama']	145.0	81.0	8.1	Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.	Wim Wenders	['Harry Dean Stanton', 'Nastassja Kinski', 'Dean Stockwell', 'Sam Berry']	109642.0	2180000.0	https://m.media-amazon.com/images/M/MV5BM2RjMmU3ZWItYzBlMy00ZmJkLWE5YzgtNTVkODdhOWM3NGZhXkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_UX140_CR0,0,140,209_AL_.jpg
518	Rocky III	https://www.imdb.com/title/tt0084602/	1982	PG	['Drama', ' Sport']	99.0	57.0	6.8	Rocky faces the ultimate challenge from a powerful new contender, and must turn to a former rival to help regain his throne as the undisputed fighting champion.	Sylvester Stallone	['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']	199692.0	125050000.0	https://m.media-amazon.com/images/M/MV5BMTMyOTYzMDMzMF5BMl5BanBnXkFtZTcwMTkzODM1NA@@._V1_UX140_CR0,0,140,209_AL_.jpg
519	Rocky IV	https://www.imdb.com/title/tt0089927/	1985	PG	['Drama', ' Sport']	91.0	40.0	6.9	Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union.	Sylvester Stallone	['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']	214298.0	127870000.0	https://m.media-amazon.com/images/M/MV5BMTg3ODk5ODE0NV5BMl5BanBnXkFtZTcwNDkzODM1NA@@._V1_UX140_CR0,0,140,209_AL_.jpg
520	Rocky V	https://www.imdb.com/title/tt0100507/	1990	PG	['Drama', ' Sport']	104.0	55.0	5.3	Reluctantly retired from fighting, Rocky takes charge of Mickey's gym and agrees to train a young protégé who's hungry for success.	John G. Avildsen	['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Sage Stallone']	143237.0	40950000.0	https://m.media-amazon.com/images/M/MV5BMTM2Mzc4MTYxM15BMl5BanBnXkFtZTcwODY5NTk1NA@@._V1_UX140_CR0,0,140,209_AL_.jpg
